자치구별,각세별,성별,항목,단위,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년
합계,29세,남자,주민등록인구(내국인 각세별/구별),,74269,77347,83544,84849,83488,84263,81741
합계,29세,여자,주민등록인구(내국인 각세별/구별),,75577,76471,85446,86268,84366,85519,85336
합계,30세,합계,주민등록인구(내국인 각세별/구별),,149513,149445,153016,165879,169713,166912,168204
합계,30세,남자,주민등록인구(내국인 각세별/구별),,74710,74220,76968,82154,84426,83357,83836
합계,30세,여자,주민등록인구(내국인 각세별/구별),,74803,75225,76048,83725,85287,83555,84368
합계,31세,합계,주민등록인구(내국인 각세별/구별),,144453,148368,148131,149441,163226,167885,164677
합계,31세,남자,주민등록인구(내국인 각세별/구별),,70945,74290,73787,75432,81228,83939,82696
합계,31세,여자,주민등록인구(내국인 각세별/구별),,73508,74078,74344,74009,81998,83946,81981
합계,32세,합계,주민등록인구(내국인 각세별/구별),,144811,142549,146240,143987,146699,160863,165011
합계,32세,남자,주민등록인구(내국인 각세별/구별),,72589,70092,73320,71842,74409,80367,82632
합계,32세,여자,주민등록인구(내국인 각세별/구별),,72222,72457,72920,72145,72290,80496,82379
합계,33세,합계,주민등록인구(내국인 각세별/구별),,146839,141939,140184,141533,140897,144144,157803
합계,33세,남자,주민등록인구(내국인 각세별/구별),,73337,71242,69098,70966,70408,73299,79084
합계,33세,여자,주민등록인구(내국인 각세별/구별),,73502,70697,71086,70567,70489,70845,78719
합계,34세,합계,주민등록인구(내국인 각세별/구별),,144733,143557,138811,135161,138162,138171,141004
합계,34세,남자,주민등록인구(내국인 각세별/구별),,72591,71802,69642,66731,69412,69131,71748
합계,34세,여자,주민등록인구(내국인 각세별/구별),,72142,71755,69169,68430,68750,69040,69256
합계,35세,합계,주민등록인구(내국인 각세별/구별),,158638,141456,140377,133920,131564,135207,134863
합계,35세,남자,주민등록인구(내국인 각세별/구별),,80013,70789,70239,67162,65080,67883,67539
합계,35세,여자,주민등록인구(내국인 각세별/구별),,78625,70667,70138,66758,66484,67324,67324
합계,36세,합계,주민등록인구(내국인 각세별/구별),,167463,154667,137812,135712,130500,128904,132271
합계,36세,남자,주민등록인구(내국인 각세별/구별),,83811,77892,68956,67773,65411,63705,66468
합계,36세,여자,주민등록인구(내국인 각세별/구별),,83652,76775,68856,67939,65089,65199,65803
