"자치구별(1)",자치구별(2),2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024
"자치구별(1)",자치구별(2),행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원
"자치구별(1)",자치구별(2),소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적
"합계",구로구,20118760,3156367,15.69,1337278,1819089,20118709,3157024,15.69,1337937,1819087,20119954,3190603,15.86,1337937,1852666,20120141,3327670,16.54,1431058,1896611,20120106,3336138,16.58,1441833,1894304,20119910,3641446,18.10,-,2003079,1533346,105021,20119104,3641446,18.10,-,2003079,1533346,105021,20121576,3712722,18.45,-,2003079,1657052,52591,20122908,3712722,18.45,-,2003079,1667753,41890,20120875,3712722,18.45,-,2003079,1667753,41890
"합계",금천구,13019732,2221074,17.06,2199324,21750,13019304,2205217,16.94,2203054,2163,13020164,2206213,16.94,2203054,3159,13020303,2206213,16.94,2205217,996,13020260,2206213,16.94,2205217,996,13020252,2774378,21.31,-,2210642,562740,996,13020482,2774393,21.31,-,2210642,563751,-,13020502,2774393,21.31,-,2210642,563751,-,13020528,2774393,21.31,-,2210642,563751,-,13018619,2774393,21.31,-,2210642,563751,-
"합계",영등포구,24529570,3065673,12.50,2962953,102720,24529646,3095107,12.62,2964503,130604,24548177,3092598,12.60,2966008,126590,24548061,3091054,12.59,2968952,122101,24548520,3050378,12.43,2975259,75119,24548195,3009278,12.26,-,2159,2957417,49702,24548211,3009092,12.26,-,2159,2957231,49702,24549898,3003009,12.23,-,2159,2957232,43617,24551194,3003009,12.23,-,2159,2957232,43617,24551377,3002758,12.23,-,2159,2956981,43617
"합계",동작구,16353893,4594775,28.10,4534245,60531,16354174,4585613,28.04,4527830,57783,16354213,4585691,28.04,4527908,57783,16354392,4585391,28.04,4532729,52663,16354618,4584220,28.03,4531994,52225,16353982,4328739,26.47,-,568213,3715216,45310,16355018,4327308,26.46,-,568213,3720621,38474,16356863,4368228,26.71,-,568213,3763048,36966,16356863,4365779,26.69,-,568213,3754930,42635,16354990,4365773,26.69,-,568213,3756455,41105
"합계",관악구,29569357,10975919,37.12,10867642,108277,29568727,10975725,37.12,10869888,105837,29568849,10975725,37.12,10869888,105837,29568890,10977114,37.12,10869888,107226,29568929,10976868,37.12,10874155,102713,29569356,12431424,42.04,-,10418474,1910237,102713,29568314,12484990,42.22,-,10418474,1967408,99108,29568309,12485205,42.22,-,10418474,1967623,99108,29568369,12484822,42.22,-,10418474,1968847,97501,29568406,12472650,42.18,-,10418474,1968847,85330
"합계",서초구,47001849,15874468,33.77,4814184,11060284,46982024,15874468,33.79,4814184,11060284,46985554,15883168,33.80,4819198,11063970,46982954,16036321,34.13,4976039,11060282,46983285,16080991,34.23,4979050,11101941,46981480,15072560,32.08,-,12337229,2147795,587537,46981621,15072028,32.08,-,12337229,2215294,519506,46968018,15072028,32.09,-,12337229,2215294,519506,46965959,15075967,32.10,-,12337229,2347069,391670,46965621,15074390,32.10,-,12337229,2345492,391670
"합계",강남구,39500681,6421972,16.26,5457914,964058,39501308,6598029,16.70,5666886,931143,39501152,6591655,16.69,5660512,931143,39500771,6591655,16.69,5660512,931143,39501013,6594334,16.69,5661169,933165,39501006,7768748,19.67,-,4065697,3628208,74842,39497507,7791347,19.73,-,4065697,3652723,72927,39497892,7794057,19.73,-,4065697,3657976,70383,39497597,7794552,19.73,-,4065697,3702439,26415,39497640,7806741,19.77,-,4065697,3714628,26415
"합계",송파구,33876207,4253899,12.56,4186206,67693,33876548,4424822,13.06,4186206,238617,33874855,4445693,13.12,4222843,222850,33872729,4642075,13.70,4274737,367338,33872729,4644814,13.71,4278371,366443,33872510,4771416,14.09,-,44399,4357259,369758,33877057,4771416,14.08,-,44399,4362729,364288,33875857,4776798,14.10,-,44399,4373209,359189,33876575,4776798,14.10,-,44399,4396578,335820,33876576,4776798,14.10,-,44399,4396578,335820
"합계",강동구,24589341,3382681,13.76,2614753,767927,24589280,3384641,13.76,2627565,757075,24588972,3384641,13.76,2627565,757075,24590637,3369970,13.70,2612895,757075,24590256,3369773,13.70,2737839,631934,24590480,3362412,13.67,-,758183,2099860,504369,24590492,3407659,13.86,-,758183,2127212,522264,24590497,3406468,13.85,-,758183,2127212,521073,24590383,3408116,13.86,-,758183,2127212,522721,24590284,3405719,13.85,-,758183,2099370,548166
"합계",서울대공원,-,6670000,-,6670000,-,-,6670000,-,6670000,-,-,6670000,-,6670000,-,-,6670000,-,6670000,-,-,6670000,-,6670000,-,-,6670000,-,-,-,6670000,-,-,6670000,-,-,-,6670000,-,-,6670000,-,-,-,6670000,-,-,6670000,-,-,-,6670000,-,-,6670000,-,-,-,6670000,-
