"구분별","항목","단위","2015. 01 월","2015. 02 월","2015. 03 월","2015. 04 월","2015. 05 월","2015. 06 월","2015. 07 월","2015. 08 월","2015. 09 월","2015. 10 월","2015. 11 월","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월","2021. 07 월","2021. 08 월","2021. 09 월","2021. 10 월","2021. 11 월","2021. 12 월","2022. 01 월","2022. 02 월","2022. 03 월","2022. 04 월","2022. 05 월","2022. 06 월","2022. 07 월","2022. 08 월","2022. 09 월","2022. 10 월","2022. 11 월","2022. 12 월","2023. 01 월","2023. 02 월","2023. 03 월","2023. 04 월","2023. 05 월","2023. 06 월","2023. 07 월","2023. 08 월","2023. 09 월","2023. 10 월","2023. 11 월","2023. 12 월","2024. 01 월","2024. 02 월","2024. 03 월","2024. 04 월","2024. 05 월","2024. 06 월","2024. 07 월","2024. 08 월","2024. 09 월","2024. 10 월","2024. 11 월","2024. 12 월",
"서대문구","이산화질소(NO2)","ppm","0.036","0.033","0.037","0.033","0.029","0.024","0.023","0.022","0.025","0.032","0.033","0.039","0.041","0.034","0.047","0.024","0.019","0.02","0.018","0.018","0.018","0.02","0.025","0.028","0.028","0.028","0.03","0.034","0.031","0.028","0.026","0.024","0.023","0.024","0.023","","－","0.033","0.003","0.026","0.021","0.021","0.015","0.014","0.014","－","－","0.029","0.03","0.026","0.024","0.018","0.018","0.012","0.01","0.01","0.013","0.019","0.027","0.027","0.026","0.025","0.021","0.019","0.019","0.018","0.011","0.009","0.01","0.018","0.023","0.023","0.027","0.026","0.025","0.017","0.014","0.013","0.011","0.009","0.008","0.014","0.023","0.026","0.031","0.025","0.022","0.017","0.014","0.010","0.011","0.011","0.010","0.015","0.023","0.027","0.0281","0.0267","0.0150","0.0105","0.0108","0.0124","0.0112","0.0095","0.0091","0.0164","0.0199","0.0251","0.0255","0.0223","0.0199","0.0197","0.0137","0.0145","0.0096","0.0095","0.0093","0.0140","0.0204","0.0249",
"서대문구","미세먼지(PM-10)","㎍/㎥","48","85","70","42","41","30","26","32","25","40","30","45","52","46","68","75","58","46","34","35","37","37","56","53","57","48","65","62","69","47","35","20","32","27","40","","-","57","51","54","47","39","22","21","21","-","-","43","62","52","65","38","53","29","23","20","17","25","32","38","38","38","41","42","34","37","23","19","13","27","36","38","32","42","66","38","60","28","17","20","11","24","43","36","41","39","41","44","33","21","21","17","19","22","37","36","46","44","68","61","35","26","22","17","16","26","28","34","35","34","53","52","32","32","20","22","13","21","26","36",
"서대문구","초미세먼지(PM-2.5)","㎍/㎥","26","29","31","22","21","20","19","20","14","21","18","25","25","21","32","33","30","27","17","18","19","16","21","25","29","26","37","28","27","24","23","14","20","15","22","","-","26","35","27","27","28","14","12","11","-","-","26","36","33","43","19","28","17","14","11","9","13","17","25","25","28","23","19","19","20","13","10","8","16","23","28","21","30","35","20","24","16","14","11","6","11","28","24","28","26","21","18","15","10","12","8","9","11","21","17","24","28","28","19","15","14","14","11","10","15","18","21","25","26","26","24","15","16","10","13","7","12","15","20",
"서대문구","오존(O3)","ppm","0.016","0.021","0.024","0.03","0.035","0.04","0.03","0.033","0.026","0.022","0.016","0.014","0.017","0.021","0.028","0.036","0.045","0.043","0.029","0.033","0.034","0.023","0.018","0.014","0.018","0.021","0.024","0.032","0.037","0.037","0.027","0.024","0.032","0.024","0.015","","－","0.021","0.031","0.037","0.037","0.035","0.022","0.03","0.028","－","－","0.013","0.017","0.023","0.033","0.035","0.048","0.043","0.034","0.032","0.025","0.023","0.015","0.014","0.018","0.022","0.032","0.04","0.04","0.05","0.032","0.019","0.03","0.025","0.019","0.019","0.017","0.023","0.028","0.040","0.039","0.044","0.039","0.032","0.032","0.024","0.018","0.014","0.016","0.026","0.032","0.047","0.053","0.035","0.036","0.029","0.026","0.021","0.020","0.015","0.0167","0.0230","0.0377","0.0407","0.0463","0.0510","0.0394","0.0371","0.0355","0.0300","0.0253","0.0207","0.0201","0.0258","0.0348","0.0411","0.0489","0.0627","0.0411","0.0464","0.0405","0.0322","0.0272","0.0205",
"마포구","아황산가스(SO2)","ppm","0.008","0.008","0.008","0.006","0.006","0.006","0.005","0.006","0.005","0.006","0.006","0.007","0.006","0.006","0.006","0.005","0.005","0.005","0.004","0.003","0.003","0.003","0.004","0.005","0.004","0.004","0.005","0.005","0.005","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.005","0.004","0.003","0.004","0.003","0.004","0.004","0.003","0.002","0.003","0.003","0.003","0.007","0.006","0.005","0.004","0.005","0.004","0.003","0.004","0.004","0.004","0.005","0.005","0.005","0.004","0.004","0.003","0.002","0.003","0.002","0.002","0.003","0.003","0.003","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.0034","0.0033","0.0033","0.0028","0.0033","0.0029","0.0030","0.0026","0.0024","0.0025","0.0026","0.0026","0.0028","0.0025","0.0025","0.0028","0.0026","0.0030","0.0023","0.0023","0.0022","0.0024","0.0028","0.0030",
"마포구","일산화탄소(CO)","ppm","0.6","0.6","0.5","0.4","0.4","0.3","0.2","0.3","0.3","0.5","0.6","0.8","0.6","0.6","0.6","0.6","0.5","0.5","0.6","0.5","0.5","0.6","0.7","0.8","0.8","0.7","0.6","0.5","0.5","0.4","0.4","0.4","0.5","0.5","0.6","0.7","0.7","0.7","0.5","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.6","0.6","0.8","0.7","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.6","0.7","0.7","0.6","0.5","0.4","0.4","0.4","0.4","0.3","0.4","0.5","0.6","0.6","0.6","0.6","0.6","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.6","0.6","0.6","0.5","0.4","0.4","0.3","0.3","0.3","0.3","0.4","0.4","0.6","0.5","0.63","0.57","0.52","0.42","0.39","0.39","0.37","0.37","0.39","0.48","0.48","0.58","0.59","0.50","0.40","0.40","0.34","0.32","0.26","0.31","0.31","0.39","0.43","0.46",
"마포구","이산화질소(NO2)","ppm","0.037","0.035","0.039","0.031","0.03","0.022","0.02","0.021","0.025","0.032","0.029","0.038","0.03","0.029","0.04","0.039","0.034","0.031","0.026","0.023","0.029","0.034","0.038","0.041","0.039","0.04","0.042","0.031","0.026","0.023","0.022","0.021","0.025","0.027","0.033","0.037","0.035","0.034","0.029","0.027","0.022","0.021","0.017","0.013","0.017","0.028","0.036","0.029","0.04","0.034","0.034","0.028","0.027","0.019","0.016","0.015","0.016","0.014","－","0.035","0.033","0.03","0.025","0.02","0.018","0.016","0.013","0.014","0.014","0.025","0.029","0.031","0.036","0.034","0.038","0.025","0.023","0.022","0.019","0.017","0.016","0.026","0.037","0.035","0.034","0.029","0.029","0.022","0.017","0.015","0.015","0.016","0.017","0.023","0.032","0.028","0.0322","0.0315","0.0290","0.0192","0.0179","0.0151","0.0149","0.0146","0.0155","0.0242","0.0239","0.0311","0.0309","0.0277","0.0244","0.0245","0.0178","0.0173","0.0122","0.0129","0.0128","0.0202","0.0263","0.0267",
"마포구","미세먼지(PM-10)","㎍/㎥","52","87","70","43","48","36","34","37","27","41","31","47","41","37","63","68","56","48","35","36","37","38","49","45","51","45","62","55","59","37","34","19","29","25","33","45","52","53","56","57","48","42","21","20","23","35","63","50","68","58","67","37","48","26","27","26","21","28","35","38","38","36","43","46","33","35","20","21","19","33","41","45","33","44","62","39","56","31","24","21","15","27","41","33","38","35","38","43","32","20","23","18","22","23","35","34","41","40","59","56","37","27","26","22","23","29","29","34","33","33","47","49","30","31","21","26","17","24","28","32",
"마포구","초미세먼지(PM-2.5)","㎍/㎥","25","31","27","16","15","13","14","16","11","18","21","32","29","24","37","33","32","34","25","25","25","19","25","30","38","32","50","33","28","25","25","15","21","17","22","32","34","34","38","26","25","28","14","13","12","17","32","21","42","38","45","20","27","18","20","18","13","17","22","32","32","31","26","22","17","19","13","14","11","17","26","31","20","30","32","18","18","19","14","12","7","13","25","21","27","24","19","20","15","10","16","11","13","15","23","21","27","29","32","22","20","17","17","14","13","16","17","22","25","24","21","21","15","18","13","17","10","13","17","19",
"마포구","오존(O3)","ppm","0.013","0.02","0.024","0.027","0.028","0.031","0.022","0.026","0.025","0.021","0.014","0.01","0.014","0.018","0.026","0.032","0.043","0.04","0.029","0.035","0.031","0.018","0.014","0.009","0.014","0.018","0.025","0.037","0.041","0.041","0.03","0.025","0.033","0.022","0.014","0.01","0.014","0.021","0.029","0.032","0.037","0.037","0.027","0.029","0.028","0.017","0.01","0.01","0.011","0.017","0.025","0.026","0.038","0.034","0.028","0.027","0.021","0.018","0.012","0.011","0.013","0.017","0.024","0.036","0.039","0.049","0.034","0.023","0.03","0.024","0.016","0.017","0.012","0.019","0.022","0.033","0.032","0.039","0.039","0.034","0.034","0.024","0.018","0.014","0.015","0.023","0.028","0.041","0.049","0.036","0.039","0.032","0.032","0.022","0.017","0.014","0.0140","0.0200","0.0324","0.0378","0.0432","0.0533","0.0425","0.0388","0.0362","0.0273","0.0224","0.0169","0.0179","0.0259","0.0361","0.0468","0.0465","0.0557","0.0398","0.0464","0.0387","0.0260","0.0203","0.0179",
"양천구","아황산가스(SO2)","ppm","0.007","0.007","0.007","0.006","0.007","0.006","0.005","0.006","0.003","0.004","0.004","0.004","0.005","0.005","0.006","0.005","0.005","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.005","0.006","0.006","0.006","0.006","0.005","0.004","0.003","0.004","0.003","0.004","0.004","0.005","0.005","0.004","0.004","0.004","0.004","0.004","0.003","0.002","0.002","0.003","0.003","0.004","0.004","0.004","0.004","0.005","0.004","0.004","0.004","0.004","0.005","0.006","0.005","0.005","0.005","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.002","0.002","0.003","0.003","0.003","0.003","0.003","0.0030","0.0033","0.0036","0.0026","0.0031","0.0028","0.0027","0.0026","0.0025","0.0028","0.0028","0.0028","0.0031","0.0028","0.0026","0.0030","0.0028","0.0031","0.0022","0.0022","0.0021","0.0021","0.0026","0.0031",
"양천구","일산화탄소(CO)","ppm","0.7","0.6","0.5","0.4","0.4","0.3","0.3","0.4","0.5","0.6","0.6","0.8","0.7","0.6","0.6","0.6","0.5","0.5","0.4","0.4","0.5","0.5","0.6","0.8","0.7","0.7","0.6","0.5","0.4","0.4","0.4","0.4","0.5","0.4","0.6","0.7","0.7","0.6","0.6","0.5","0.4","0.4","0.3","0.3","0.4","0.5","0.7","0.7","0.8","0.7","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.5","0.6","0.7","0.7","0.6","0.5","0.4","0.4","0.4","0.4","0.3","0.4","0.5","0.6","0.6","0.6","0.6","0.6","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.6","0.6","0.7","0.5","0.5","0.4","0.4","0.3","0.4","0.4","0.4","0.4","0.5","0.5","0.60","0.56","0.54","0.43","0.41","0.41","0.39","0.38","0.39","0.47","0.50","0.61","0.63","0.56","0.46","0.41","0.32","0.32","0.27","0.28","0.27","0.35","0.42","0.49",
"양천구","이산화질소(NO2)","ppm","0.043","0.039","0.046","0.038","0.032","0.027","0.022","0.022","0.034","0.038","0.038","0.043","0.036","0.036","0.039","0.038","0.032","0.027","0.023","0.024","0.028","0.034","0.04","0.036","0.036","0.035","0.038","0.031","0.029","0.023","0.022","0.024","0.029","0.03","0.035","0.036","0.036","0.035","0.038","0.036","0.031","0.028","0.022","0.019","0.024","0.039","0.048","0.04","0.046","0.041","0.038","0.034","0.029","0.022","0.019","0.019","0.026","0.029","0.039","0.038","0.038","0.036","0.03","0.022","0.02","0.019","0.017","0.014","0.017","0.028","0.035","0.036","0.035","0.033","0.035","0.024","0.020","0.019","0.016","0.016","0.016","0.026","0.034","0.033","0.034","0.028","0.028","0.019","0.014","0.013","0.013","0.011","0.015","0.021","0.029","0.028","0.0302","0.0294","0.0287","0.0194","0.0180","0.0141","0.0131","0.0131","0.0151","0.0229","0.0256","0.0332","0.0330","0.0288","0.0247","0.0250","0.0166","0.0157","0.0110","0.0114","0.0122","0.0192","0.0258","0.0276",
"양천구","미세먼지(PM-10)","㎍/㎥","50","80","66","43","41","33","29","37","42","50","35","61","54","48","65","66","51","47","33","33","34","39","49","47","52","44","59","50","53","41","34","21","32","36","51","50","47","49","49","44","38","34","25","23","19","26","50","45","73","64","80","44","56","30","32","31","27","39","49","49","50","46","49","45","36","38","22","25","22","35","48","47","41","53","73","44","61","34","26","23","16","30","47","41","46","44","45","45","31","23","25","23","24","25","40","39","53","50","71","63","38","29","28","22","21","30","32","39","39","36","50","50","30","28","18","22","16","25","30","35",
"양천구","초미세먼지(PM-2.5)","㎍/㎥","23","31","25","20","19","18","13","18","22","28","25","38","33","27","34","27","25","24","19","20","20","20","27","27","30","32","44","31","29","28","28","16","23","20","29","31","33","32","36","25","23","24","16","13","9","13","27","24","40","37","47","20","27","18","20","19","13","18","23","32","33","30","27","21","17","20","15","17","12","18","27","28","23","32","35","18","19","20","16","13","8","16","29","26","34","29","23","22","17","11","18","15","15","16","24","20","29","35","33","21","19","18","18","14","11","15","16","24","26","24","21","21","14","17","12","17","10","14","18","22",
"양천구","오존(O3)","ppm","0.01","0.016","0.02","0.027","0.032","0.037","0.027","0.03","0.025","0.019","0.013","0.009","0.013","0.018","0.026","0.033","0.046","0.045","0.032","0.036","0.032","0.015","0.012","0.007","0.01","0.013","0.019","0.026","0.03","0.038","0.029","0.024","0.027","0.021","0.014","0.008","0.011","0.015","0.024","0.029","0.035","0.034","0.021","0.028","0.026","0.019","0.01","0.01","0.011","0.017","0.027","0.027","0.037","0.034","0.026","0.03","0.025","0.024","0.015","0.01","0.013","0.018","0.026","0.035","0.033","0.041","0.03","0.018","0.029","0.022","0.014","0.013","0.013","0.020","0.024","0.036","0.035","0.039","0.040","0.034","0.032","0.022","0.017","0.012","0.014","0.023","0.026","0.041","0.047","0.032","0.036","0.029","0.030","0.021","0.015","0.013","0.0128","0.0180","0.0300","0.0343","0.0395","0.0477","0.0361","0.0357","0.0342","0.0285","0.0227","0.0166","0.0177","0.0242","0.0347","0.0455","0.0463","0.0569","0.0391","0.0443","0.0343","0.0226","0.0179","0.0173",
"강서구","아황산가스(SO2)","ppm","0.007","0.007","0.007","0.006","0.007","0.006","0.005","0.006","0.005","0.006","0.005","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.005","0.005","0.006","0.005","0.006","0.006","0.006","0.007","0.008","0.007","0.008","0.007","0.007","0.006","0.006","0.006","0.005","","0.004","0.004","0.004","0.004","0.003","0.004","0.004","0.003","0.003","0.003","0.004","0.006","0.006","0.006","0.005","0.005","0.006","0.005","0.004","0.004","0.004","0.004","0.005","0.005","0.005","0.005","0.004","0.004","0.004","0.004","0.004","0.003","0.004","0.005","0.004","0.005","0.004","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.005","0.004","0.005","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.0035","0.0035","0.0034","0.0028","0.0032","0.0028","0.0026","0.0026","0.0026","0.0030","0.0029","0.0031","0.0034","0.0029","0.0028","0.0032","0.0029","0.0033","0.0022","0.0027","0.0030","0.0029","0.0033","0.0036",
"강서구","일산화탄소(CO)","ppm","0.5","0.5","0.4","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.6","0.8","0.5","0.5","0.5","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.5","0.6","0.6","0.6","0.6","0.4","0.3","0.3","0.4","0.4","0.4","0.4","0.7","","0.6","0.6","0.5","0.5","0.4","0.4","0.3","0.3","0.4","0.4","0.7","0.7","0.7","0.7","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.5","0.6","0.6","0.7","0.6","0.5","0.4","0.4","0.4","0.4","0.3","0.3","0.5","0.6","0.4","0.5","0.6","0.5","0.4","0.3","0.4","0.3","0.4","0.4","0.5","0.7","0.7","0.7","0.5","0.5","0.4","0.4","0.3","0.4","0.4","0.4","0.5","0.6","0.5","0.63","0.58","0.53","0.43","0.42","0.41","0.39","0.39","0.41","0.48","0.49","0.60","0.61","0.51","0.41","0.43","0.32","0.32","0.28","0.32","0.34","0.42","0.45","0.47",
"강서구","이산화질소(NO2)","ppm","0.036","0.034","0.037","0.033","0.028","0.022","0.02","0.022","0.026","0.032","0.033","0.038","0.033","0.031","0.033","0.033","0.026","0.022","0.02","0.023","0.025","0.029","0.034","0.037","0.036","0.035","0.041","0.034","0.028","0.024","0.024","0.025","0.03","0.031","0.038","","0.037","0.035","0.036","0.034","0.028","0.026","0.02","0.019","0.021","0.032","0.044","0.037","0.042","0.037","0.036","0.032","0.03","0.021","0.018","0.018","0.023","0.027","0.035","0.036","0.034","0.031","0.026","0.019","0.019","0.017","0.016","0.014","0.016","0.026","0.031","0.033","0.032","0.030","0.034","0.024","0.023","-","-","0.015","0.015","0.024","0.034","0.033","0.032","0.026","0.028","0.020","0.016","0.013","0.014","0.014","0.017","0.022","0.031","0.028","0.0310","0.0304","0.0284","0.0199","0.0179","0.0139","0.0136","0.0132","0.0150","0.0219","0.0229","0.0309","0.0306","0.0265","0.0226","0.0239","0.0163","0.0153","0.0108","0.0122","0.0134","0.0208","0.0258","0.0256",
"강서구","미세먼지(PM-10)","㎍/㎥","50","81","66","45","46","40","32","37","32","53","41","54","51","48","70","76","59","49","35","39","40","41","53","51","56","49","65","60","71","44","36","25","41","36","40","","52","52","52","48","39","34","23","20","18","27","55","48","76","65","79","42","53","27","28","27","24","36","48","52","53","46","49","45","36","36","21","23","19","36","47","45","41","53","73","42","64","33","24","21","14","29","50","44","50","44","44","49","36","23","26","21","26","30","45","45","57","53","79","73","44","30","27","23","21","29","32","39","38","36","50","52","32","31","20","24","16","26","31","38",
"강서구","초미세먼지(PM-2.5)","㎍/㎥","27","35","30","22","23","23","22","25","17","26","23","27","26","22","29","28","29","30","21","24","24","20","27","29","31","27","36","25","24","22","21","13","22","18","23","","34","30","34","24","21","22","16","13","9","14","27","23","37","35","46","19","27","18","21","19","14","18","24","30","29","27","24","20","18","21","14","16","12","18","25","26","22","32","36","19","22","23","17","14","8","14","26","21","27","24","20","23","16","12","19","12","13","15","23","19","25","31","32","21","18","17","16","14","11","13","15","19","22","21","19","22","15","17","12","17","10","14","17","19",
"강서구","오존(O3)","ppm","0.014","0.021","0.025","0.03","0.037","0.038","0.025","0.027","0.024","0.019","0.01","0.008","0.012","0.017","0.022","0.027","0.033","0.036","0.022","0.034","0.03","0.018","0.015","0.01","0.015","0.02","0.027","0.04","0.047","0.045","0.033","0.026","0.026","0.017","0.012","","0.015","0.02","0.027","0.033","0.037","0.037","0.022","0.031","0.029","0.019","0.012","0.013","0.013","0.02","0.031","0.032","0.048","0.043","0.033","0.035","0.023","0.021","0.013","0.012","0.014","0.019","0.028","0.035","0.033","0.039","0.032","0.02","0.03","0.023","0.015","0.015","0.015","0.023","0.030","0.040","0.038","0.042","0.037","0.034","0.031","0.021","0.018","0.014","0.017","0.026","0.028","0.043","0.050","0.035","0.041","0.033","0.033","0.024","0.018","0.016","0.0160","0.0231","0.0363","0.0402","0.0446","0.0502","0.0377","0.0351","0.0330","0.0270","0.0231","0.0178","0.0191","0.0238","0.0333","0.0418","0.0431","0.0532","0.0362","0.0461","0.0367","0.0250","0.0206","0.0189",
"구로구","아황산가스(SO2)","ppm","0.005","0.007","0.006","0.005","0.007","0.006","0.006","0.007","0.005","0.007","0.007","0.006","0.007","0.007","0.007","0.007","0.006","0.006","0.005","0.005","0.005","0.005","0.006","0.006","0.006","0.007","0.008","0.007","0.007","0.006","0.006","0.006","0.006","0.006","0.006","0.007","0.007","0.007","0.005","0.005","0.003","0.004","0.003","0.003","0.003","0.004","0.005","0.006","0.007","0.006","0.006","0.004","0.004","0.004","0.004","0.005","0.004","0.004","0.004","0.004","0.005","0.003","0.003","0.003","0.002","－","0.002","0.003","0.002","0.003","0.003","0.004","0.004","0.004","0.003","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.002","0.002","0.002","0.002","0.003","0.003","0.0031","0.0032","0.0032","0.0029","0.0030","0.0024","0.0024","0.0022","0.0024","0.0023","0.0025","0.0025","0.0028","0.0028","0.0025","0.0027","0.0027","0.0030","0.0024","0.0024","0.0023","0.0022","0.0024","0.0030",
"구로구","일산화탄소(CO)","ppm","0.8","0.7","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.6","0.6","0.8","0.7","0.6","0.6","0.6","0.5","0.5","0.3","0.3","0.4","0.4","0.5","0.5","0.6","0.6","0.6","0.5","0.5","0.4","0.4","0.4","0.5","0.5","0.6","0.6","0.6","0.6","0.4","0.3","0.3","0.3","0.2","0.2","0.2","0.3","0.5","0.4","0.5","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.5","0.4","0.4","0.3","0.2","0.2","0.2","0.3","0.3","0.4","0.4","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.3","0.4","0.4","0.4","0.4","0.5","0.5","0.4","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.43","0.50","0.50","0.41","0.33","0.31","0.28","0.27","0.29","0.34","0.37","0.51","0.53","0.47","0.37","0.36","0.28","0.34","0.27","0.28","0.34","0.42","0.38","0.40",
"구로구","이산화질소(NO2)","ppm","0.036","0.033","0.036","0.03","0.026","0.022","0.019","0.021","0.023","0.03","0.03","0.034","0.029","0.029","0.03","0.028","0.024","0.022","0.019","0.019","0.023","0.026","0.027","0.029","0.027","0.027","0.028","0.023","0.019","0.018","0.017","0.018","0.02","0.025","0.024","0.025","0.025","0.022","0.031","0.029","0.023","0.023","0.017","0.016","0.02","0.03","0.04","0.034","0.037","0.032","0.029","0.026","0.023","0.018","0.016","0.016","0.021","0.025","0.031","0.031","0.031","0.034","0.032","0.02","0.016","0.014","0.014","0.011","－","0.026","0.028","0.031","0.032","0.030","0.032","0.022","0.020","0.020","-","0.014","0.013","0.020","0.031","0.030","0.031","0.028","0.026","0.018","0.014","0.010","0.011","0.011","0.014","0.019","0.026","0.025","0.0271","0.0271","0.0237","0.0161","0.0143","0.0113","0.0103","0.0102","0.0115","0.0169","0.0166","0.0220","0.0209","0.0183","0.0149","0.0159","0.0107","0.0101","0.0071","0.0087","0.0086","0.0143","0.0191","0.0171",
"구로구","미세먼지(PM-10)","㎍/㎥","50","81","72","48","47","36","30","35","29","49","35","46","46","41","67","79","61","51","37","41","41","40","53","50","55","47","63","57","66","42","31","22","35","30","40","55","59","-","61","59","45","40","21","21","22","33","59","43","67","56","72","46","61","31","19","22","19","27","42","40","41","40","53","51","43","35","17","18","19","36","45","44","39","51","75","47","64","32","19","19","15","29","46","41","43","40","45","52","39","21","21","16","26","31","46","40","51","50","79","73","39","26","21","17","18","28","30","40","40","37","57","58","34","34","18","20","12","23","34","40",
"구로구","초미세먼지(PM-2.5)","㎍/㎥","24","28","29","22","22","22","20","23","15","26","22","27","26","23","31","32","32","31","24","25","24","20","27","30","32","28","37","25","24","21","22","15","22","17","22","35","37","28","42","28","20","26","13","13","8","14","30","20","30","29","44","23","36","23","18","14","8","11","24","28","29","30","27","22","25","18","10","9","8","15","27","27","20","29","36","21","22","14","13","11","7","13","27","24","24","24","22","22","16","9","12","7","11","13","23","17","25","30","33","23","16","14","12","10","8","15","16","23","25","22","20","23","17","19","11","13","6","12","18","20",
"구로구","오존(O3)","ppm","0.009","0.015","0.027","0.035","0.041","0.048","0.032","0.033","0.027","0.019","0.01","0.008","0.014","0.018","0.024","0.027","0.035","0.029","0.035","0.036","0.03","0.019","0.015","0.01","0.013","0.015","0.021","0.031","0.038","0.04","0.033","0.026","0.026","0.019","0.01","0.008","0.01","0.014","0.029","0.034","0.042","0.043","0.031","0.038","0.029","0.018","0.011","0.012","0.012","0.018","0.029","0.027","0.045","0.044","0.041","0.028","0.027","0.028","0.017","0.015","0.018","0.023","0.034","0.042","0.039","0.049","0.036","0.019","0.028","0.023","0.015","0.015","0.016","0.023","0.026","0.040","0.040","0.044","0.044","0.039","0.035","0.026","0.023","0.018","0.020","0.025","0.026","0.046","0.049","0.038","0.039","0.033","0.033","0.024","0.017","0.014","0.0138","0.0191","0.0291","0.0359","0.0374","0.0442","0.0347","0.0307","0.0274","0.0233","0.0214","0.0160","0.0161","0.0219","0.0293","0.0376","0.0494","0.0621","*0.0461","*0.0533","0.0408","0.0249","0.0195","0.0183",
"금천구","아황산가스(SO2)","ppm","0.007","0.007","0.007","0.006","0.007","0.006","0.006","0.006","0.004","0.004","0.004","0.005","0.006","0.005","0.005","0.005","0.005","0.004","0.004","0.004","0.004","0.003","0.004","0.004","0.005","0.005","0.005","0.005","0.005","0.004","0.003","0.003","0.004","0.003","0.004","0.004","0.005","0.005","0.005","0.004","0.003","0.004","0.004","0.003","0.003","0.003","0.004","0.005","0.005","0.004","0.004","0.003","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.002","0.003","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.004","0.004","0.004","0.004","0.003","0.004","0.003","0.003","0.003","0.002","0.003","0.003","0.003","0.004","0.0034","0.0032","0.0035","0.0031","0.0032","0.0031","0.0030","0.0031","0.0028","0.0028","0.0026","0.0026","0.0027","0.0027","0.0027","0.0031","0.0030","0.0032","0.0024","0.0025","0.0026","0.0026","0.0029","0.0031",
"금천구","일산화탄소(CO)","ppm","0.8","0.7","0.7","0.6","0.5","0.4","0.3","0.3","0.5","0.5","0.6","0.8","0.7","0.6","0.6","0.6","0.5","0.5","0.4","0.4","0.5","0.5","0.6","0.7","0.7","0.6","0.6","0.5","0.4","0.4","0.4","0.4","0.5","0.4","0.5","0.6","0.7","0.6","0.5","0.4","0.4","0.4","0.3","0.3","0.4","0.5","0.6","0.6","0.7","0.7","0.6","0.4","0.5","0.4","0.4","0.4","0.4","0.4","0.6","0.6","0.7","0.6","0.5","0.4","0.4","0.4","0.4","0.3","0.4","0.5","0.6","0.6","0.6","0.6","0.5","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.5","0.6","0.6","0.5","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.5","0.56","0.56","0.49","0.41","0.39","0.40","0.32","0.27","0.40","0.49","0.49","0.58","0.59","0.51","0.45","0.44","0.37","0.35","0.30","0.30","0.32","0.36","0.43","0.47",
